n,rank,p,epsilon,reference_operator_error,error_over_epsilon,log_B_lower_weighted,log_B_lower_uniform,log_B_floor,log_B_constructed,log_B_upper_budget,lower_remainder,constructed_remainder,upper_budget_remainder
20,8,2.0,0.0025,0.0006248047485160884,0.24992189940643533,1.3372523579292452,1.0967708303723351,1.0967708303723351,20.421187777725624,27.480492197675744,-3.529867349527678,4.50547387986027,7.477812582997164
24,1,2.0,0.001736111111111111,0.00043289916424536486,0.24934991860533018,104.26827595755218,81.5066922239403,1.1559955910479476,197.84183456354427,250.60179908648922,0.19908046574777494,4.267496057312648,6.561407558310256
24,2,2.0,0.001736111111111111,0.0004334630977237825,0.24967474428889874,41.33146729087642,31.172112857689136,1.1559955910479476,98.14359383222693,126.5269880863949,-0.7402822027652398,4.199902713873936,6.668023953366802
24,4,2.0,0.001736111111111111,0.00043369828884909795,0.24981021437708043,14.12465767695436,9.99176055115001,1.1559955910479476,52.78926386515886,64.48958258634774,-1.8778606320667786,4.846418705012265,6.881256743479895
24,8,2.0,0.001736111111111111,0.00043393360815795223,0.2499457582989805,2.870057975010488,1.4432211680258775,1.1559955910479476,27.18243293261232,33.470879836324166,-3.3360418019682365,5.120436444154139,7.307722323706086
32,1,2.0,0.0009765625,0.0002436643001361162,0.249512243339383,153.75034989146425,121.96749272404628,1.2427840248915938,280.6610060960763,348.12667136500534,0.25102781152410447,4.34491994715675,6.521231730025429
32,2,2.0,0.0009765625,0.0002439023450579144,0.24975600133930434,63.01223197078283,48.491375570785095,1.2427840248915938,142.26752307162494,175.3252651011599,-0.64335560621456,4.469888980936544,6.602646531229123
32,4,2.0,0.0009765625,0.00024402145532678596,0.24987797025462882,23.289852054058436,17.125341614555136,1.2427840248915938,72.46938179735699,88.92456196923722,-1.7035186941284932,4.642227079200353,6.765476133636511
32,8,2.0,0.0009765625,0.0002441108263151469,0.2499694861467104,6.438012893591001,4.144577534748638,1.2427840248915938,37.29456844428491,45.724210403275855,-3.04723821243513,4.915743865163298,7.091135338451284
40,1,2.0,0.000625,0.0001560060654318169,0.24960970469090704,205.85591526951777,165.01358946205588,1.3052379968162817,366.0982773713849,448.1076832824007,0.284154606705334,4.392933122137824,6.495738401907462
40,2,2.0,0.000625,0.00015612798470846268,0.2498047755335403,86.06928201042463,67.13342512800318,1.3052379968162817,187.8102034664221,225.34190344521198,-0.5803928612092433,4.637090290380372,6.561792853395237
40,4,2.0,0.000625,0.00015618898027474818,0.24990236843959707,33.20881742602604,24.951541380570657,1.3052379968162817,92.97129074496242,113.95901352661762,-1.5881696385616815,4.541314804406151,6.693901756370789
40,8,2.0,0.000625,0.00015623779392234983,0.24998047027575973,10.470300124046018,7.245220495088698,1.3052379968162817,48.14437341618951,58.26756856732044,-2.8464483234779894,4.8815667108078555,6.958119562321891
48,1,2.0,0.00043402777777777775,0.00010836575750922505,0.24967470530125452,260.00121579497846,210.08232961064115,1.3535087253483058,453.5721817077082,550.0245768440557,0.30717495305492015,4.425706142687468,6.477884762609755
48,2,2.0,0.00043402777777777775,0.00010843926929515978,0.24984407645604814,110.18702185928943,86.80614821989647,1.3535087253483058,224.80346900538078,276.3207324263349,-0.5359563677195389,4.341339255518391,6.5335632308781415
48,4,2.0,0.00043402777777777775,0.00010847163034997243,0.24991863632633649,43.69905894445914,33.31253823849914,1.3535087253483058,114.66704236802526,139.46881021747456,-1.5056969622034178,4.534131414270296,6.644920167414916
48,8,2.0,0.00043402777777777775,0.00010848928591083648,0.24995931473856725,14.836298586833175,10.639861402569064,1.3535087253483058,58.555287050108056,71.04284911304435,-2.6994383895049316,4.742091561690793,6.86763404048846
56,1,2.0,0.00031887755102040814,7.963046772898996e-05,0.24972114679811253,315.8141819885996,256.811469165055,1.3925726678751145,542.7116848748312,653.5386806837945,0.3241120617876305,4.44952120517366,6.464557492609355
56,2,2.0,0.00031887755102040814,7.967650315059907e-05,0.2498655138802787,135.16676549623477,107.32255329096947,1.3925726678751145,272.12334764695004,328.09439184286674,-0.5028088654147345,4.477430485520365,6.5127411835537
56,4,2.0,0.00031887755102040814,7.969714839143096e-05,0.2499302573555275,54.64848433336028,42.10886922101677,1.3925726678751145,139.64430792656526,165.37224742240284,-1.4435287501243423,4.737985693017839,6.609108565442389
56,8,2.0,0.00031887755102040814,7.97082672779302e-05,0.24996512618358915,19.462470430583398,14.268061367734122,1.3925726678751145,69.36765315395976,84.01117521217087,-2.5870591844656867,4.671876484389058,6.801843329219764
64,1,2.0,0.000244140625,6.097558217396588e-05,0.24975598458456424,373.03699965681693,304.9482762984206,1.4252171929262132,633.259529246999,758.4118776003912,0.33709258476880954,4.467608927470112,6.454154139428718
64,2,2.0,0.000244140625,6.1006292762455654e-05,0.24988177515501836,160.8720541874269,128.5527256739232,1.4252171929262132,320.2024024651261,380.5449435587665,-0.47708029272266916,4.581026001807466,6.496662227002398
64,4,2.0,0.000244140625,6.1021188331103355e-05,0.24994278740419934,65.98130271661228,51.27201846894788,1.4252171929262132,157.4608660974073,191.61147653795413,-1.3948405706338542,4.413385675765829,6.581678402149755
64,8,2.0,0.000244140625,6.102770628715195e-05,0.2499694849521744,24.30177551675295,18.0904211224477,1.4252171929262132,80.34152179117494,97.14474302754795,-2.498189883846958,4.617968373222501,6.75171075244447
